Date,Home,Away,Result
2022-05-04,Manaton & Moretonhampstead,Ilsington,Manaton & Moretonhampstead won by 20 runs
2022-05-18,South Brent,Manaton & Moretonhampstead,
2022-05-24,Dartanians,Manaton & Moretonhampstead,
2022-05-25,Ilsington,South Brent,Match cancelled due to rain - Draw
2022-05-31,Dartanians,Ilsington,
2022-06-01,Manaton & Moretonhampstead,South Brent,
2022-06-08,Buckfastleigh,Ilsington,
2022-06-14,Dartanians,Buckfastleigh,
2022-06-21,Ilsington,Dartanians,
2022-06-22,Buckfastleigh,Manaton & Moretonhampstead,
2022-06-29,Ilsington,Manaton & Moretonhampstead,
2022-07-06,Manaton & Moretonhampstead,Buckfastleigh,
2022-07-12,Manaton & Moretonhampstead,Dartanians,
2022-07-20,Ilsington,Buckfastleigh,
2022-07-26,Buckfastleigh,Dartanians,
2022-08-10,South Brent,Buckfastleigh,
2022-08-24,South Brent,Ilsington,
2022-08-31,Buckfastleigh,South Brent,
